"RBallID","HomeTeam","AwayTeam","Timestamp","Incident","IncidentNumber","Minute"
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 14:01:02","Lineup changed",0,0
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 14:01:30","Transmission Online",1,0
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 14:01:30","Scout in Stadion",2,0
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 14:30:48","GCC",3,0
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 14:45:20","GCC",4,0
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 14:52:57","GCC",5,0
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 14:55:53","Players are coming out",6,0
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 14:56:15","Jersey Changed",7,0
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 14:56:15","Jersey Changed",8,0
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 14:56:57","Players lined up",9,0
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 14:58:22","Photo taking",10,0
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 14:59:19","Game about to start",11,0
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:00:17","Start RT1 Team 1",12,1
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:00:19","SAFE1",13,1
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:00:35","AT1",14,1
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:00:40","AT2",15,1
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:00:40","DANGER2",16,1
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:00:40","DAT2",17,1
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:00:46","SAFE2",18,1
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:00:58","Possible Free Kick",19,1
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:01:03","SAFE1",21,1
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:01:03","O2",22,1
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:01:03","FK1",23,1
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:01:03","Ball Position",24,1
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:01:11","Restart",25,1
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:01:21","POSSIBLE_TI",26,2
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:01:22","TI2",27,2
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:01:33","Restart",28,2
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:01:41","SAFE2",29,2
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:02:02","AT2",30,2
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:02:02","DANGER2",31,2
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:02:02","DAT2",32,2
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:02:05","Possible Free Kick",33,2
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:02:09","SAFE1",35,2
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:02:09","O2",36,2
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:02:09","FK1",37,2
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:02:10","Ball Position",38,2
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:02:37","Restart",39,3
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:02:49","AT1",40,3
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:02:49","DANGER1",41,3
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:02:49","DAT1",42,3
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:03:02","POSSIBLE_TI",43,3
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:03:04","TI2",44,3
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:03:16","Restart",45,3
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:03:26","AT2",46,4
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:03:26","DANGER2",47,4
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:03:26","DAT2",48,4
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:03:33","SAFE1",49,4
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:03:50","AT2",50,4
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:03:50","DANGER2",51,4
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:03:50","DAT2",52,4
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:04:04","Possible Free Kick",53,4
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:04:08","SAFE1",55,4
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:04:08","O2",56,4
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:04:08","FK1",57,4
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:04:08","Ball Position",58,4
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:04:31","Restart",59,5
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:04:42","AT2",60,5
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:04:48","POSSIBLE_TI",61,5
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:04:50","TI2",62,5
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:05:06","Restart",63,5
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:05:07","DANGER2",64,5
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:05:07","DAT2",65,5
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:05:31","POSSIBLE_TI",66,6
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:05:32","TI1",67,6
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:05:36","SAFE1",68,6
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:06:21","Restart",69,7
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:06:29","POSSIBLE_TI",70,7
900390,"Watford FC","Tottenham Hotspur FC","12/02/2017 15:06:30","TI2",71,7
