"RBallID","HomeTeam","AwayTeam","Timestamp","Incident","IncidentNumber","Minute"
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 14:00:32","Lineup changed",0,0
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 14:01:15","Transmission Online",1,0
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 14:01:15","Scout in Stadion",2,0
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 14:56:23","Jersey Changed",3,0
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 14:56:23","Jersey Changed",4,0
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 14:56:25","Players are coming out",5,0
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 14:56:32","GCC",6,0
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 14:59:45","Flip coin",7,0
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 14:59:55","Game about to start",8,0
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:00:21","Start RT1 Team 2",9,1
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:00:22","SAFE2",10,1
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:00:25","AT2",11,1
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:00:28","DANGER2",12,1
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:00:28","DAT2",13,1
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:00:32","POSSIBLE_TI",14,1
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:00:33","TI1",15,1
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:00:43","Restart",16,1
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:00:54","SAFE2",17,1
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:00:57","AT2",18,1
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:00:58","SAFE2",19,1
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:01:14","AT2",20,1
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:01:18","DANGER2",21,1
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:01:18","DAT2",22,1
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:01:21","SAFE1",23,1
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:01:22","AT1",24,2
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:01:26","SAFE1",25,2
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:01:30","AT1",26,2
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:01:31","DANGER1",27,2
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:01:31","DAT1",28,2
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:01:46","POSSIBLE_TI",29,2
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:01:47","TI1",30,2
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:02:03","Restart",31,2
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:02:09","POSSIBLE_TI",32,2
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:02:14","NO_TI",33,2
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:02:15","Possible Free Kick",34,2
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:02:20","F2",36,2
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:02:20","FK1",37,2
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:02:20","DFK1",38,2
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:02:20","Ball Position",39,2
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:02:21","Restart",40,2
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:02:41","SAFE1",41,3
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:02:45","AT1",42,3
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:02:50","DANGER1",43,3
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:02:50","DAT1",44,3
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:02:58","PCR1",45,3
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:03:07","NCR1",46,3
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:03:07","POSSIBLE_TI",47,3
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:03:08","TI1",48,3
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:03:22","POSSIBLE_CARDS",49,4
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:03:35","NO_Cards",50,4
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:03:44","Restart",51,4
1228097,"Aston Villa FC","Norwich City FC","12/26/2019 15:03:51","SAFE1",52,4
