"RBallID","HomeTeam","AwayTeam","Timestamp","Incident","IncidentNumber","Minute"
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 13:02:53","Lineup changed",0,0
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 13:15:06","Scout in Stadion",1,0
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 13:22:35","Transmission Online",2,0
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 13:22:41","GCC",3,0
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 13:55:11","Players are coming out",4,0
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 13:55:34","Players lined up",5,0
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 13:55:54","Shake hands",6,0
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 13:56:10","Jersey Changed",7,0
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 13:56:11","Jersey Changed",8,0
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 13:57:35","Photo taking",9,0
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 13:57:47","Flip coin",10,0
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 13:58:18","Minute of silent",11,0
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 13:59:59","Game about to start",12,0
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:00:15","Start RT1 Team 2",13,1
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:00:19","SAFE2",14,1
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:00:28","SAFE1",15,1
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:00:40","AT1",16,1
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:00:47","DANGER1",17,1
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:00:47","DAT1",18,1
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:00:50","SAFE2",19,1
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:00:51","AT2",20,1
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:00:55","SAFE1",21,1
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:01:23","AT1",22,2
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:01:55","DANGER1",23,2
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:01:55","DAT1",24,2
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:02:10","SAFE2",25,2
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:02:44","AT2",26,3
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:02:50","SAFE1",27,3
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:02:53","SAFE2",28,3
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:03:05","AT2",29,3
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:03:07","SAFE1",30,3
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:03:07","AT1",31,3
850281,"Liverpool FC","Crystal Palace FC","08/19/2017 14:03:11","Possible Free Kick",32,3
