"RBallID","HomeTeam","AwayTeam","Timestamp","Incident","IncidentNumber","Minute"
1223603,"Real Sociedad","FC Barcelona","12/14/2019 13:50:33","Lineup changed",0,0
1223603,"Real Sociedad","FC Barcelona","12/14/2019 13:51:12","Transmission Online",1,0
1223603,"Real Sociedad","FC Barcelona","12/14/2019 14:24:39","Scout in Stadion",2,0
1223603,"Real Sociedad","FC Barcelona","12/14/2019 14:24:55","GCC",3,0
1223603,"Real Sociedad","FC Barcelona","12/14/2019 14:34:21","Jersey Changed",4,0
1223603,"Real Sociedad","FC Barcelona","12/14/2019 14:34:21","Jersey Changed",5,0
1223603,"Real Sociedad","FC Barcelona","12/14/2019 14:57:07","Players are coming out",6,0
1223603,"Real Sociedad","FC Barcelona","12/14/2019 14:57:10","GCC",7,0
1223603,"Real Sociedad","FC Barcelona","12/14/2019 14:58:27","Players lined up",8,0
1223603,"Real Sociedad","FC Barcelona","12/14/2019 14:58:30","Shake hands",9,0
1223603,"Real Sociedad","FC Barcelona","12/14/2019 14:58:55","Flip coin",10,0
1223603,"Real Sociedad","FC Barcelona","12/14/2019 14:59:10","Photo taking",11,0
1223603,"Real Sociedad","FC Barcelona","12/14/2019 14:59:33","Game about to start",12,0
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:00:09","Start RT1 Team 2",13,1
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:00:10","SAFE2",14,1
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:00:22","AT2",15,1
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:00:23","DANGER2",16,1
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:00:23","DAT2",17,1
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:00:34","SAFE1",18,1
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:00:37","AT2",19,1
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:00:38","SAFE2",20,1
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:00:40","AT2",21,1
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:00:41","POSSIBLE_TI",22,1
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:00:42","TI2",23,1
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:00:48","Restart",24,1
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:00:50","DANGER2",25,1
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:00:50","DAT2",26,1
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:00:54","SAFE1",27,1
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:01:15","AT1",28,2
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:01:21","DANGER1",29,2
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:01:21","DAT1",30,2
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:01:33","SAFE2",31,2
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:01:35","GK2",32,2
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:01:55","Restart",33,2
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:01:57","AT2",34,2
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:02:02","SAFE1",35,2
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:02:03","AT1",36,2
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:02:04","SAFE2",37,2
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:02:05","AT2",38,2
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:02:12","Possible Free Kick",39,3
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:02:15","F1",41,3
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:02:15","FK2",42,3
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:02:15","Ball Position",43,3
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:02:15","DANGER2",44,3
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:02:15","DFK2",45,3
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:02:16","Restart",46,3
1223603,"Real Sociedad","FC Barcelona","12/14/2019 15:02:16","SAFE2",47,3
